premises_name, wine_region, website, premises_address, premises_suburb, premises_state&postcode, phone, fax, opening_hours, winemaker, established, dozen, yineyards
Cooralook Wines,Strathbogie Ranges,www.yabbylake.com,Level 1, 500 Chapel Street, South Yarra, Vic 3141 (postal)                        Strathbogie Ranges            VIC,(03) 9667 6541,(03) 9827 3970,Not,Tom Carson, Chris Forge,2000,40 000,72.1 hectares,
Ciavarella Oxley Estate,King Valley,www.oxleyestate.com.au,17 Evans Lane, Oxley, Vic 3678                        King Valley            VIC            3678,(03) 5727 3384,(03) 5727 3384,Mon?Sat 9?5, Sun 10?5,Tony Ciavarella,1978,3000,1.6 hectares,
Cirami Estate,Riverland,www.rvic.org.au,78 Nixon Road, Monash, SA 5342                        Riverland            SA            5342,(08) 8583 5366,Not Available,Mon-Fri 9-4,Eric Semmler,2008,1000,46.4 hectares,
Cope-Williams,Macedon Ranges,www.copewilliams.com.au,221 Ochiltrees Road, Romsey, Vic 3434                        Macedon Ranges            VIC,(03) 5429 5595,(03) 5429 6009,By appt,David Cowburn,1977,3000,6.5 hectares,
Coombend Estate,East Coast Tasmania,,16017 Tasman Highway, Swansea, Tas 7190                        East Coast Tasmania            TAS,(03) 6257 8881,(03) 6257 8884,7 days 10-5,Tom Ravech,1985,6000,160 hectares,
Cornelia Creek Wines,Goulburn Valley,www.corneliacreekwines.com.au,1557 O'Dea Road, Koyuga, Vic 3622                        Goulburn Valley,(03) 5859 2211,Not Available,W'ends 11-5,Peter Beckingham,2007,550,1.6 hectares,
Coombe Farm,Yarra Valley,www.coombeyarravalley.com.au,673-675 Maroondah Highway, Coldstream, Vic 3770            Coldstream            Yarra Valley            VIC            3770,(03) 9739 0173,(03) 9739 1154,7 days 10-5 (Wed-Sun Jun-Aug),Nicole Esdaile,1999,7000,60 hectares,
Cooter and Cooter,McLaren Vale,www.cooter.com.au,82 Almond Grove Road, Whites Valley, SA 5172                        McLaren Vale,0438 766 178,Not Available,Not,James Cooter,2012,1800,23 hectares,
Coolangatta Estate,Shoalhaven Coast,www.coolangattaestate.com.au,1335 Bolong Road, Shoalhaven Heads, NSW 2535                        Shoalhaven Coast            NSW            2535,(02) 4448 7131,(02) 4448 7997,7 days 10?5,Tyrrell's,1988,5000,10.5 hectares,
Coe and Co,Gundagai,www.coeandcowines.com.au,Cooba East Station, Dollar Vale Road, Eurongilly, NSW 2663 (postal)                        Gundagai,0427 245 272,Not Available,Not,Nick Spencer, Andrew McEwin, Antonio D'Onise,2014,5000,52 hectares,
Jack Estate,Coonawarra,www.jackestate.com,15025 Riddoch Highway, Coonawarra, SA 5263                        Coonawarra            SA            5263,(08) 8736 3130,Not Available,By appt,Shannon Sutherland, Conrad Slabber,2011,10 000,221 hectares,
Coastal Estate Vineyard,Geelong,www.coastalestate.com.au,320 Grays Road, Paraparap, Vic 3240                        Geelong,0437 180 664,Not Available,Not,Suzanne Paton,2007,300,4.6 hectares,
Cooyal Grove,Mudgee,,Lot 9 Stoney Creek Road, Mudgee, NSW 2850                        Mudgee            NSW,(02) 6373 5337,(02) 6373 5337,Not,Michael Slater (Contract),1990,400,3 hectares,
Cooper Wines,Hunter Valley,,469 Lovedale Road, Lovedale, NSW 2321                        Hunter Valley            NSW,(02) 4930 7387,(02) 4930 7900,Mon??Fri 10-5, w'ends 9.30-5,Max Cooper,2001,3000,Not Available,
Cooper Burns,Barossa Valley,www.cooperburns.com.au,494 Research Road, Nuriootpa, SA 5355            Nuriootpa            Barossa Valley            SA            5355,(08) 7513 7606,(08) 8563 9181,By appt,Russell Burns,2004,3000,Not Available,
Coral Sea Wines,South Australia,www.coralseawines.com,PO Box 800, Orange, NSW 2800                        South Australia,0417 010 066,Not Available,Not,Contract,1993,8000,Not Available,
Counterpoint Vineyard,Pyrenees,www.counterpointvineyard.com.au,107 McAdams Lane, Moonambel, Vic 3478                        Pyrenees            VIC,(03) 5467 2245,(03) 5467 2245,By appt,Contract,1976,300,3.6 hectares,
Oxenbury Vineyard,Beechworth,oxenbury.blogspot.com.au,PO Box 533, Beechworth, Vic 3747                        Beechworth            VIC,0411 249 704,Not Available,Not,Andrew Doyle,2001,700,8 hectares,
Cowrock Vineyards,Margaret River,,28 Dequetteville Terrace, Kent Town DC, SA 5067 (postal)                        Margaret River            WA,(08) 8331 3000,(08) 8331 3377,Not,Jodie Opie,2006,NFP,Not Available,
Coriole,McLaren Vale,www.coriole.com,Chaffeys Road, McLaren Vale, SA 5171                        McLaren Vale            SA            5171,(08) 8323 8305,(08) 8323 9136,Mon?Fri 10?5, w'ends and public hols 11?5,Alex Sherrah,1967,32 000,48.5 hectares,
Coward and Black Vineyards,Margaret River,www.cowardandblack.com.au,448 Tom Cullity Drive, Wilyabrup. WA 6280                        Margaret River            WA,(08) 9755 6355,(08) 9755 6456,7 days 9-5,Clive Otto (Contract),1998,1500,9.5 hectares,
Cowra Estate,Cowra,,Boorowa Road, Cowra, NSW 2794                        Cowra            NSW,(02) 9907 7735,(02) 9907 7734,At The Quarry Restaurant Tues-Sun 10-4,Tim Smith,1973,5000,73 hectares,
Coppabella of Tumbarumba,Tumbarumba,www.coppabella.com.au,424 Tumbarumba Road, Tumbarumba, NSW 2653 (postal)                        Tumbarumba,(02) 6382 7997,Not Available,Not,Jason Brown,2011,4000,71.9 hectares,
Costanzo and Sons,Strathbogie Ranges,www.costanzo.com.au,602 Tames Road, Strathbogie, Vic 3666                        Strathbogie Ranges            VIC            3666,0447 740 055,Not Available,By appt,Joe Costanzo and Ray Nadeson,2011,2000,6 hectares,
Collalto,Adelaide Hills,www.collalto.com.au,Lot 99, Adelaide-Lobethal Road, Lobethal, SA 5241            Lobethal             Adelaide Hills            SA            5241,+44 207 910 8300,Not Available,Not,Revenir (Peter Leske),2006,1200,8 hectares,
Condie Estate,Heathcote,www.condie.com.au,480 Heathcote-Redesdale Road, Heathcote, Vic 3523                        Heathcote            VIC            3523,0404 480 422,Not Available,W'ends and public hols 11-5,Richie Condie,2001,1500,6.8 hectares,
Courabyra Wines,Tumbarumba,www.courabyrawines.com,805 Courabyra Road, Tumbarumba, NSW 2653                        Tumbarumba,(02) 6948 2462,Not Available,W'ends 10-4,Alex McKay, Nick Spencer, Peta Baverstock,2010,NFP,36.3 hectares,
Gartelmann Wines,Hunter Valley,www.gartelmann.com.au,701 Lovedale Road, Lovedale, NSW 2321                        Hunter Valley            NSW,(02) 4930 7113,(02) 4930 7114,Mon-Sat10?5, Sun 10-4,Jorg Gartelmann, Liz Silkman,1970,7000,Not Available,
Garners Heritage Wines,Strathbogie Ranges,www.garnerswine.com.au,54 Longwood/Mansfield Road, Longwood East, Vic 3666                        Strathbogie Ranges            VIC,(03) 5798 5513,(03) 5798 5514,W'ends 11-4, 0410 649 030,Lindsay Brown,2005,500,1.8 hectares,
Garlands,Mount Barker,www.garlandswines.com.au,Marmion Street, Mount Barker, WA 6324                        Mount Barker            WA,(08) 9851 2737,(08) 9851 1062,7 days 10.30-4.30; winter Thurs-Sun 10.30-4.30,Michael Garland,1996,5000,Not Available,
Galah,Adelaide Hills,,Tregarthen Road, Ashton, SA 5137                        Adelaide Hills            SA,(08) 8390 1243,(08) 8390 1243,At Ashton Hills,Stephen George,1986,500,Not Available,
Galafrey,Mount Barker,www.galafreywines.com.au,Quangellup Road, Mount Barker, WA 6324                        Mount Barker            WA            6324,(08) 9851 2022,(08) 9851 2324,7 days 10-5,Kim Tyrer,1977,3500,13.1 hectares,
Gallows Wine Co,Margaret River,www.gallows.com.au,Lennox Road, Carbunup River, WA 6280                        Margaret River            WA,(08) 9755 1060,(08) 9755 1060,7 days 10-5,Charlie Maiolo, Neil Doddridge,2008,11 000,27 hectares,
Gaelic Cemetery Wines,Clare Valley,www.gaelic-cemeterywines.com,PO Box 54, Sevenhill, SA 5453                        Clare Valley            SA,(08) 8843 4370,(08) 8843 4353,Not,Neil Pike, Steve Baraglia,2005,1500,6.5 hectares,
Gabriel Horvat Wines,Macedon Ranges,www.horvatwines.com,No 9, 37-39 East Street, Daylesford, Vic 3460                        Macedon Ranges            VIC,0429 585 129,Not Available,Mon-Tues 11-5, Fri-Sat 11-late, Sun 12-4,Gabriel Horvat,2005,1000,Not Available,
Gala Estate,East Coast Tasmania,www.galaestate.com.au,56 Glen Gala Rd            CRANBROOK            East Coast Tasmania            TAS            7190,0408 681 014,Not Available,7 days 10-4 (closed winter),Glenn James, Pat Colombo,2009,3500,11 hectares,
Gallagher Wines,Canberra District,www.gallagherwines.com.au,2770 Dog Trap Road, Murrumbateman, NSW 2582            Jeir, NSW             Canberra District            NSW            2582,(02) 6227 0555,(02) 6227 0666,W'ends and public hols 10-5,Greg Gallagher,1995,2000,2 hectares,
Coalville Vineyard,Gippsland,,RMB 4750 Moe South Road, Moe South, Vic 3825                        Gippsland            VIC,(03) 5127 4229,(03) 5127 4229,7 days 10?5,Peter Beasley,1985,NA,Not Available,
Cobbitty Wines,South Coast Zone,,Cobbitty Road, Cobbitty, NSW 2570                        South Coast Zone            NSW,(02) 4651 2281,(02) 4651 2671,Mon-Sat 9.30-5.30, Sun 11-5.30,Giovanni Cogno,1964,NA,Not Available,
Cobaw Ridge,Macedon Ranges,www.cobawridge.com.au,31 Perc Boyers Lane, Pastoria, Vic 3444                        Macedon Ranges            VIC,(03) 5423 5227,(03) 5423 5227,Thurs-Mon 12-5,Alan Cooper,1985,800,5 hectares,
Connor Park Winery,Bendigo,www.connorparkwinery.com.au,59 Connors Road, Leichardt, Vic 3516                        Bendigo            VIC,(03) 5437 5234,(03) 5437 5204,7 days 11-5.30,Ross Lougoon,1994,2500,Not Available,
Coal Valley Vineyard,Southern Tasmania,www.coalvalley.com.au,257 Richmond Road, Cambridge, Tas 7170            Cambridge            Southern Tasmania            TAS            7170,(03) 6248 5367,Not Available,7 days 11-5 (closed Jul),Alain Rousseau, Todd Goebel,1991,1500,4.5 hectares,
Coates Wines,Adelaide Hills,www.coates-wines.com,185 Tynan Road, Kuitpo, SA 5172                        Adelaide Hills            SA            5171,0417 882 557,(08) 8363 9925,W'ends and public hols 11-5,Duane Coates,2003,2500,Not Available,
Condo Wines,Various,www.condowines.com.au,3 Ward Street, Torrensville, SA 5031 (postal)                        Various            NSW,0439 750 030,(08) 8443 6489,Not,Sarah Siddons(Contract),1997,3000,36.7 hectares,
Coldstream Hills,Yarra Valley,www.coldstreamhills.com.au,31 Maddens Lane,             Coldstream            Yarra Valley            VIC            3770,(03) 5960 7000,Not Available,7 days 10?5,Andrew Fleming,1985,25 000,100 hectares,
Cofield Wines,Rutherglen,www.cofieldwines.com.au,Distillery Road, Wahgunyah, Vic 3687                        Rutherglen            VIC,(02) 6033 3798,(02) 6033 0798,Mon?Sat 9?5, Sun 10?5,Damien Cofield, Brendan Heath,1990,13 000,15.4 hectares,
Constable Estate Vineyards,Hunter Valley,www.constablevineyards.com.au,205 Gillards Road, Cessnock, NSW 2320                        Hunter Valley            NSW,(02) 4998 7887,(02) 4998 6555,7 days 10?4,Liz Silkman (Contract),1981,3000,5.55 hectares,
Coobara Wines,Adelaide Hills,www.coobarawines.com.au,473 Cromer Road, Birdwood, SA 5234                        Adelaide Hills            SA,0407 685 797,(08) 8568 5069,By appt,David Cook,1992,2500,12 hectares,
Coliban Valley Wines,Heathcote,www.colibanvalleywines.com.au,313 Metcalfe-Redesdale Road, Metcalfe, Vic 3448                        Heathcote            VIC,0417 312 098,(03) 9813 3895,W'ends 10-5,Helen Miles,1997,300,4.4 hectares,
Collina del Re,King Valley,,PO Box 349, Paddington, NSW 2021                        King Valley            VIC,(02) 9332 1623,(02) 9380 8810,Not,Various contract,1995,200,Not Available,
Collector Wines,Canberra District,www.collectorwines.com.au,12 Bourke Street, Collector, NSW 2581 (postal)            COLLECTOR            Canberra District            NSW            2581,(02) 6116 8722,(02) 6247 7682,Not,Alex McKay,2007,3000,Not Available,
Conte Estate Wines,McLaren Vale,www.conteestatewines.com.au,270 Sand Road, McLaren Flat, SA 5171                        McLaren Vale            SA            5171,(08) 8383 0183,(08) 8383 0125,By appt,Danial Conte,2003,5000,77 hectares,
Colvin Wines,Hunter Valley,www.colvinwines.com.au,19 Boyle Street, Mosman, NSW 2088 (postal)                        Hunter Valley            NSW,(02) 9908 7886,(02) 9908 7885,Not,Andrew Spinaze, Mark Richardson,1999,500,5.2 hectares,
Colville Estate,McLaren Vale,,PO Box 504, McLaren Vale, SA 5171                        McLaren Vale            SA,0414 826 168,(08) 8556 3742,Not,Tim Geddes (Contract),2001,1300,Not Available,
Corymbia Wine,Swan Valley,www.corymbiawine.com.au,30 Nolan Avenue, Upper Swan, WA 6069                        Swan Valley,0439 973 195,Not Available,Not,Genevieve Mann,2013,200,0.72 hectares,
Coldstream Hills,Yarra Valley,www.coldstreamhills.com.au,31 Maddens Lane,             Coldstream            Yarra Valley            VIC            3770,(03) 5960 7000,Not Available,7 days 10?5,Andrew Fleming,1985,25 000,100 hectares,
Coulter Wines,Adelaide Hills,www.coulterwines.com,6 Third Avenue, Tanunda, SA 5352 (postal)                        Adelaide Hills            SA            5352,0448 741 773,Not Available,Not,Chris Coulter,2015,440,Not Available,
Gowrie Mountain Estate,Granite Belt,,2 Warrego Highway, Kingsthorpe, Qld 4400                        Granite Belt            QLD,(07) 4630 0566,(07) 4630 0366,7 days 10-5,Peter Howland Wines, Preston Peak,1998,NA,Not Available,
Governor's Choice Winery,Queensland Zone,www.governorschoice.com.au,Berghofer Road, Westbrook via Toowoomba, Qld 4350                        Queensland Zone            QLD,(07) 4630 6101,(07) 4630 6701,7 days 9-5,James Yates,1999,NA,Not Available,
Goulburn Valley Estate Wines,Goulburn Valley,,340 Trotter Road, Mooroopna North, Vic 3629                        Goulburn Valley            VIC,(03) 5829 0278,(03) 5829 0014,By appt,Rocky Scarpari,2001,NA,Not Available,
Goulburn Terrace,Nagambie Lakes,www.goulburnterrace.com.au,340 High Street, Nagambie, Vic 3608                        Nagambie Lakes            VIC,(03) 5794 2828,(03) 5794 1854,By appt,Dr Mike Boudry, Dr Greta Moon,1993,800,6.9 hectares,
Gold Dust Wines,Orange,,Southpark, Tallwood Road, Millthorpe, NSW 2798                        Orange            NSW,(02) 6366 5168,(02) 6361 9165,By appt,Contract,1993,700,Not Available,
Golden Ball,Beechworth,www.goldenball.com.au,1175 Beechworth Wangaratta Road, Beechworth, Vic 3747                        Beechworth            VIC,(03) 5727 0284,(03) 5727 0294,By appt,James McLaurin,1996,850,3.2 hectares,
Goundrey,Various,www.goundrey.com.au,10460, Vasse Highway, Nannup, WA 6275                        Various            ACT,1800 088 711,(08) 8392 2202,Not,Troy Overstone,1976,NFP,Not Available,
Golden Grape Estate,Hunter Valley,,Oakey Creek Road, Pokolbin, NSW 2321                        Hunter Valley            NSW,(02) 4998 7588,(02) 4998 7730,7 days 105,Neil McGuigan (Consultant),1985,NA,Not Available,
Goodman Wines,Yarra Valley,www.goodmanwines.com.au,15 Symons Street, Healesville, Vic 3777 (postal)            Healesville            Yarra Valley            VIC            3777,0447 030 011,Not Available,Not,Kate Goodman,2012,500,Not Available,
Goaty Hill Wines,Northern Tasmania,www.goatyhill.com,530 Auburn Road, Kayena, Tas 7270                        Northern Tasmania            TAS,1300 819 997,1300 819 907,7 days 11-5,Jeremy Dineen (Contract),1998,6500,19.5 hectares,
Quattro Mano,Barossa Valley,www.quattromano.com.au,PO Box 189, Hahndorf, SA 5245                        Barossa Valley            SA,0430 647 470,(08) 8388 1736,By appt,Anthony Carapetis, Christopher Taylor, Philippe Morin,2006,2500,3.8 hectares,
Quealy Winemakers,Mornington Peninsula,www.quealy.com.au,62 Bittern-Dromana Road, Balnarring, Vic 3926            Balnarring            Mornington Peninsula            VIC            3926,(03) 5983 2483,Not Available,7 days 11-5,Kathleen Quealy, Kevin McCarthy,1982,8000,8 hectares,
Quartz Hill Vineyard,Pyrenees,www.quartzhillwines.com.au,65 Lillicur West Road, Lamplough, Vic 3352 (postal)                        Pyrenees,(03) 5465 3670,Not Available,Not,Darrin Gaffy, John Durham,1995,400,3.6 hectares,
Quarry Hill Wines,Canberra District,www.quarryhill.com.au,2181 Barton Highway            Jeir            Canberra District            NSW            2582,0414 574 460,(02) 6100 6174,Not,Collector Wines (Alex McKay),1999,600,4.5 hectares,
Ernest Hill Wines,Hunter Valley,www.ernesthillwines.com.au,307 Wine Country Drive, Nulkaba, NSW 2325            Hunter Valley NSW            Hunter Valley            NSW            2325,(02) 4991 4418,(02) 4991 7724,7 days 10-5,Mark Woods,1999,6000,12 hectares,
Ermes Estate,Mornington Peninsula,,Mornington Peninsula            VIC,Not Available,Not Available,This business is no longer operating,Not Available,1989,NA,Not Available,
Eumundi Winery,Queensland Zone,,310 Memorial Drive, Eumundi, Qld 4562                        Queensland Zone            QLD,(07) 5442 7444,(07) 5442 7455,Wed-Sun 11-5,Gerry Humphrey, Andrew Hickinbotham (Contract),1994,1000,3 hectares,
